Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","036","Australia","7271","Temperature change","7001","January","2024","2024","°c","1.564","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7002","February","2024","2024","°c","1.76","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7003","March","2024","2024","°c","1.116","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7004","April","2024","2024","°c","-0.283","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7005","May","2024","2024","°c","1.309","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7006","June","2024","2024","°c","0.598","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7007","July","2024","2024","°c","0.668","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7008","August","2024","2024","°c","2.89","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7009","September","2024","2024","°c","1.918","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7010","October","2024","2024","°c","2.417","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7011","November","2024","2024","°c","1.799","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7012","December","2024","2024","°c","1.856","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7001","January","2024","2024","°c","3.93","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7002","February","2024","2024","°c","4.321","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7003","March","2024","2024","°c","2.853","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7004","April","2024","2024","°c","3.328","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7005","May","2024","2024","°c","2.008","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7006","June","2024","2024","°c","1.367","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7007","July","2024","2024","°c","2.127","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7008","August","2024","2024","°c","2.077","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7009","September","2024","2024","°c","3.885","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7010","October","2024","2024","°c","3.083","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7011","November","2024","2024","°c","3.598","E","Estimated value"
